"","X","nct_id","result_group_id","X.AE_probability","X.AE_Subjects","X.Total_Subjects","time_frame","AEdescription","Treatment","Treatment_description"
"727",901,"NCT00906698",295313,0.722222222,13,18,"First administration of trial medication until 28 days after last administration of trial medication.",NA,"Afatinib 40mg With Vinorelbine Per os","Continuous daily dosing of Afatinib 40mg orally and oral vinorelbine 60 mg/m2/week for days 1,8,15 of first cycle, and 80mg/m2 from day 22 first cycle onwards, weekly. Patients will be eligible for repeated treatment courses in the absence of clinical disease progression or undue toxicity ."
"732",907,"NCT01286753",170700,0.72,18,25,"Baseline until 28 days after the last dose of study treatment or until initiation of another anti-cancer therapy, whichever occurred first (up to approximately 4 years)","Safety population, defined as enrolled participants who received at least one dose of study treatment.","TKI Experienced","Vemurafenib 960 mg orally twice daily in participants previously treated with TKI therapy active against VEGFR."
"733",908,"NCT00520013",439267,0.72,18,25,"Assessed each cycle throughout consolidation treatment from time of first dose and up to day 30 post-treatment. Per protocol, consolidation treatment was a fixed duration of 1 year.","Serious and other AE data is only available for consolidation treatment reflecting the primary and secondary study objectives centered on the evaluation of consolidative regimens AE vs A.","Carboplatin/Paclitaxel/Bevacizumab Then Bevacizumab/Erlotinib","Induction (CTA): Patients received carboplatin IV AUC 5, paclitaxel IV 175 mg/m2 and bevacizumab IV 15 mg/kg on day 1 (+/- 3d) of a 21 day cycle for 6 cycles. Bevacizumab started with cycle 2.
Patients with disease progression based on radiographic evaluation after induction could not advance to the randomized consolidation phase.
Consolidation (AE): Patients received bevacizumab IV 15 mg/kg on day 1 (+/- 3d) of a 21 day cycle and oral erlotinib 150mg daily for 1 year."
"739",916,"NCT00054275",573039,0.717948718,28,39,"Patients will be evaluated for adverse events at each study visit for the duration of their participation in the study and for 30 days after the discontinuation of Tarceva.",NA,"Docetaxel and OSI-774","docetaxel IV over 1 hour once weekly for 3 weeks and oral erlotinib once daily"
"747",924,"NCT00459342",461156,0.714285714,25,35,"29 weeks","Treatment schedule included up to eight (8) possible 21-day (3-week) study cycles with follow up about 4-5 weeks after the last dose of Dasatinib.","Dasatinib","Oral dasatinib 100 mg (two 50 mg tablets) twice daily on days 1-21. Treatment repeats every 21 days in the absence of disease progression or unacceptable toxicity."
"756",934,"NCT00263328",528191,0.714285714,10,14,"Adverse events (AEs; serious and nonserious) were recorded from the time the participant had taken at least 1 dose of trial treatment through the follow-up visit at Month 98 or 2 months following discontinuation of treatment.","The same event may appear as both an AE and a serious AE (SAE). However, what is presented are distinct events. An event may be categorized as serious in 1 participant and as nonserious in another participant, or 1 participant may have experienced both a serious and nonserious event during the study.","Tofacitinib 15-10-5 mg BID","Participants receiving tofacitinib 15 mg, tablets, PO, BID at study entry (rollover from Parent Study A3921009) reduced the dose of tofacitinib to 10 mg BID on entry into Study A3921021. Within the window of Months 12-24 post-transplant, tofacitinib dosage was then tapered from 10 mg BID to 5 mg BID over 4 weeks (5 mg in the morning and 10 mg in the evening for 4 weeks, then 5 mg BID thereafter) and the participant remained on 5 mg BID throughout the duration of the study, for a maximum of 90 months. In addition, African-American participants may have received MMF, up to 3 gm per day through Month 6 post-transplant. Participants also received corticosteroids (prednisone ≤5 mg daily [or equivalent] through at least 12 months post-transplant. Thereafter, steroids may have been discontinued at the investigator's discretion."
"764",943,"NCT00941863",283490,0.714285714,5,7,"Time frame for expansion group is from start of treatment until April 2008, up to 6 years.","Acronyms in Adverse Event Section:
White Blood Cell (WBC) Absolute Neutrophil Count (ANC) Absolute Granulocyte Count (AGC) Alanine Transaminase (ALT) Aspartate Transaminase (AST) Grade (GR) Gastrointestinal (GI) Central Nervous System (CNS) Fibrillation/Flutter (FIB/FLUTT) Neutropenia (Neu) documented (doc)","Sorafenib 100 mg (50-mg Tablet)","Dose-escalation cohort 1: Sorafenib (Nexavar, BAY43-9006) 100 mg twice daily (50-mg tablet)"
"767",949,"NCT00467779",457611,0.714285714,5,7,"AEs were recorded from the Day 1 of treatment period until the 30 plus or minus 4 days after the last treatment (up to approximately 6 years) .",NA,"Stage 1 Cohort 08 - Cobimetinib 80 mg (21/7)","Participants received cobimetinib 80 mg via solution or capsule, once daily for Days 1-21 of each 28-day cycle. Treatment was continued until PD or unacceptable toxicity for up to 1 year at the discretion of investigator and beyond 1 year with the agreement of the sponsor."
"768",950,"NCT00195260",539805,0.714285714,5,7,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Bosutinib 400 mg","Bosutinib 400 mg capsule orally once daily continuously in 21-day cycles until disease progression, unacceptable toxicity, or consent withdrawal."
"799",985,"NCT01708954",78387,0.7,28,40,"Assessed every 4 weeks while on treatment and for 30 days after the end of treatment",NA,"Arm B (Cabozantinib)","Patients receive cabozantinib 60mg PO daily on days 1-28. Courses repeat every 28 days in the absence of disease progression or unacceptable toxicity."
"808",995,"NCT00376948",492462,0.7,14,20,NA,NA,"Novasoy®, Gemcitabine & Erlotinib","Novasoy® 396 mg (177 mg of Isoflavones) twice-daily starting daay -7 until day 28; Gemcitabine 1000 mg/m2 days 1, 8, & 15; Erlotinib 150 mg day 1 until day 28
genistein
erlotinib hydrochloride
gemcitabine hydrochloride"
"823",1011,"NCT00195260",539803,0.7,7,10,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Bosutinib 600 mg","Bosutinib 600 mg capsule orally once daily continuously in 21-day cycles until disease progression, unacceptable toxicity, or consent withdrawal."
"824",1013,"NCT00101816",562123,0.7,7,10,NA,NA,"Imatinib-intolerant","Defined as: i) Toxicity that was considered at least possibly related to imatinib ≤400 mg/day that led to a discontinuation of imatinib therapy ii) Ability to tolerate only <400 mg/day imatinib. A subject who tolerated 400 mg/day imatinib, but was intolerant of higher doses was not considered imatinib-intolerant. Receiving oral dasatinib at a starting dose of 70 mg twice daily (BID), with dose modifications as necessary for the management of disease progression or toxicity."
"831",1021,"NCT00392769",486935,0.696969697,23,33,"3 years and 5 months",NA,"Cetuximab","400 mg/m^2 intravenous (IV) over 120 Minutes, followed by weekly infusions at 250 mg/m^2 IV over 60 minutes."
"834",1026,"NCT00299741",517333,0.694444444,25,36,"Throughout treatment period",NA,"Metastatic Prostate Cancer Treated With Sunitinib","Sunitinib"
"842",1034,"NCT01462695",127996,0.692307692,9,13,NA,"One stratum A patient did not receive any study drug and was excluded from the summary of adverse events. SAE field contains NCI CTCAEs submitted via expedited reporting (NCI AdEERs / CAeRs) or grade 5 adverse events resulting in death. The AE field contains grade 3 and higher CTCAEs reported on study excluding those that were reported as SAEs.","Stratum B: Recurrent Ependymoma","Patients receive sunitinib malate orally (PO) once daily (QD) on days 1-28. Treatment repeats every 42 days for up to 18 courses in the absence of disease progression or unacceptable toxicity."
"847",1039,"NCT00245102",532801,0.692307692,9,13,NA,NA,"Undifferentiated Pleomorphic Sarcoma","Sorafenib 400 mg PO BID"
"852",1045,"NCT00527124",435716,0.689655172,20,29,NA,NA,"Arm I","Patients receive oral cediranib once daily on days 1-21, docetaxel IV over 1 hour on day 1, and oral prednisone twice daily on days 1-21."
"861",1055,"NCT00687297",376474,0.6875,22,32,"Adverse events were assessed every 3 weeks during induction and every 4 weeks during maintenance.","Serious adverse events are defined as events of grade 3 or higher that were considered possibly, probably, or definitely treatment-related. Other adverse events include grade 1 or 2 events possibly, probably or definitely treatment-related occurring at a rate of 5% or higher.","Treated on Vandetanib Maintenance","Adverse events among patients receiving Vandetanib using the maintenance phase of the study"
"872",1066,"NCT00977548",270547,0.685714286,24,35,"1 year, 9 months",NA,"Erlotinib Treatment","Erlotinib was given as an oral 150 mg daily dose for 16 weeks. The dose was adjusted for diarrhea, rash and pulmonary toxicity."
"885",1079,"NCT01057589",243764,0.681818182,45,66,NA,NA,"Pemetrexed Cisplatin Cetuximab","Pemetrexed 500 mg/m^2 administered by IV infusion followed by cisplatin 75 mg/m^2 administered by IV infusion both given on Day 1 of each 21 day cycle. Cetuximab 400 mg/m^2 administered by IV infusion initially as a loading dose in Week 1, subsequent weeks cetuximab 250 mg/m^2 administered by IV infusion once per week for a maximum of six 21 day cycles. At the discretion of the investigator participants who completed at least 4 cycles of triplet combination therapy could continue to receive pemetrexed plus cetuximab in the maintenance setting or as a monotherapy of pemetrexed or cetuximab alone in the absence of PD, unacceptable toxicity or any other withdrawal criterion up to 19 months. Participants also received Folic Acid and Vitamin B12 as standard of care dietary supplements."
"891",1085,"NCT00787267",337563,0.68,17,25,NA,NA,"Evalulable Patients That Received Dasatinib","Dasatinib: 70 mg PO twice daily until progression."
"893",1087,"NCT01117987",225031,0.679487179,53,78,NA,NA,"Core Placebo","Depending on the participants randomized treatment in the core study, CQTI571A2301 (NCT00902174), and their completion status in the core study, participants received imatinib at 200 mg qd, 400 mg qd, or 200 mg qd with an increase to 400 mg qd after 2 weeks, if tolerated."
"921",1123,"NCT00225784",535765,0.666666667,22,33,NA,NA,"Cetuximab/Gemcitabine/Radiotherapy","weekly cetuximab, twice-weekly gemcitabine and intensity modulated radiotherapy"
"928",1133,"NCT01461057",128487,0.666666667,10,15,"Randomization of first participant to clinical cutoff date (01 March 2015) (approximately 41 months)","An adverse event (AE) was defined as any untoward medical occurrence in a participant administered the investigational product which does not necessarily have a causal relationship with this treatment.","Pertuzumab 840/840 mg","Participants received 840 mg as an IV infusion Q3W for cycles 1-6. Participants in both arms received trastuzumab, cisplatin, and capecitabine. Capecitabine 1000 mg/m^2 was administered orally twice daily, from the evening of Day 1 to the morning of Day 15 of each cycle. Cisplatin 80 mg/m^2 was administered as an IV infusion on Day 1 of each cycle. Trastuzumab was administered as an IV infusion at a loading dose of 8 mg/kg for Cycle 1 and a dose of 6 mg/kg q3w for subsequent cycles."
"929",1134,"NCT01210495",194651,0.666666667,10,15,"Up to 28 days after last dose of study drug, for up to 3 years","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one participant and as nonserious in another participant, or one participant may have experienced both a serious and nonserious event during the study.","Child-Pugh Class A","Participants with Child-Pugh Class A disease (score 5 or 6) were enrolled into the non-randomized portion at selected sites only at a starting axitinib dose of 5 mg twice daily (BID)."
"930",1135,"NCT01063075",242544,0.666666667,10,15,NA,NA,"Carboplatin and Cetuximab (D)","Group D:
Cycle 1 (1 week, combination therapy):
400 milligrams per square meter (mg/m ²) cetuximab administered intravenously (I.V) on day 1. Carboplatin area under the curve (AUC=5) administered I.V on day 1.
Optional 5- fluorouracil (FU) administered as a 96-hour continuous infusion (C.I.) of 1000 mg/ m ²/day administered starting on day 1."
"938",1144,"NCT01251653",182101,0.666666667,8,12,"From first drug administration until 28 days after last drug administration, up to 717 days",NA,"Afatinib 40mg and Docetaxel 75mg","Afatinib (film-coated tablet) 40 mg qd (once daily) was administered orally in combination with Docetaxel 75 mg/m2 administered as intravenous infusion on Day 1 of each 3- week treatment course."
"940",1146,"NCT01107418",227961,0.666666667,8,12,"Up to approximately 3 years",NA,"Cohort 3 - Vemurafenib 720 mg","Participants received vemurafenib film-coated tablets, orally, twice daily at a dose of 720 mg on Days 1 to 15 (a single morning dose was administered on Day 15). Starting at Day 22, participants received vemurafenib 960 mg film-coated tablets orally twice daily in 21-day cycles until the development of progressive disease, unacceptable toxicity, consent withdrawal, or any other criteria for removal."
"941",1147,"NCT00941863",283488,0.666666667,8,12,"Time frame for expansion group is from start of treatment until April 2008, up to 6 years.","Acronyms in Adverse Event Section:
White Blood Cell (WBC) Absolute Neutrophil Count (ANC) Absolute Granulocyte Count (AGC) Alanine Transaminase (ALT) Aspartate Transaminase (AST) Grade (GR) Gastrointestinal (GI) Central Nervous System (CNS) Fibrillation/Flutter (FIB/FLUTT) Neutropenia (Neu) documented (doc)","Sorafenib 400 mg (50-mg Tablet)","Dose-escalation cohort 3: Sorafenib (Nexavar, BAY43-9006) 400 mg twice daily (50-mg tablet)"
"969",1182,"NCT01169675",208548,0.666666667,4,6,"Starting with first administration of trial drug (Afatinib or Pemetrexed) and ending 28 days after the last administration of trial drug.",NA,"Pulsed Afatinib 70 mg","Pulsed Afatinib 70 mg plus Pemetrexed"
"971",1184,"NCT01121575",223337,0.666666667,4,6,"Up to Maximum of treatment duration + 28 days for each participant (could be 295 days)","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. The below tables included all causality SAEs (frequency threshold 0%) and AEs ( frequency threshold 5%).","PF-02341066, 250 mg QD/ PF-00299804, 45 mg QD","Participants enrolled in dose escalation received combined oral crizotinib 250 mg BID and oral dacomitinib 45 mg. The first cycle was for 28 days thereafter, each cycle was 21 days."
"976",1194,"NCT00906698",295315,0.666666667,4,6,"First administration of trial medication until 28 days after last administration of trial medication.",NA,"Afatinib 50mg With Vinorelbine i.v.","Continuous daily dosing of Afatinib 50mg orally and weekly Vinorelbine 25 mg/m2 intravenously (days 1, 8, 15 and 22) in a 4-weekly course. Patients will be eligible for repeated treatment courses in the absence of clinical disease progression or undue toxicity ."
"981",1199,"NCT00631410",396261,0.666666667,4,6,"Up to 733 days (the last subject study discontinuation)","The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Treatment Arm B 50 mg/Day (2/2)","Sunitinib was administered orally in a 2 weeks on, 2 weeks off intermittent dosing regimen, at a starting dose of 50 mg/day (50 mg/day in Schedule 2/2).
FOLFOX was administered on an every-2-week cycle using the mFOLFOX6 regimen consisting of oxaliplatin 85 mg/meter^2 and l-leucovorin 200 mg/meter^2 as a 2-hour intravenous infusion followed by an intravenous bolus of fluorouracil 400 mg/meter^2 and a 46-hour intravenous infusion of fluorouracil 2,400 mg/meter^2 on Days 1 and 2 of each cycle."
"998",1225,"NCT02129062",24222,0.666666667,2,3,"Adverse event collection from start of treatment to 30 days following completion, approximately 16 weeks.",NA,"Treatment (Ibrutinib)","Ibrutinib 560 mg orally daily on days 1-28. Courses repeat every 4 weeks."
"999",1226,"NCT02091752",27809,0.666666667,2,3,NA,NA,"Ruxolitinib","All participants received ruxolitinib."
"1001",1229,"NCT01838642",57058,0.666666667,2,3,"17 months and 19 days","No participants were enrolled in the RET mutation negative group; study closed prematurely.","RET Mutation Positive Participants","Rearranged during transfection) (RET)
Ponatinib: Ponatinib tablets will be administered orally, continually, once daily at a dose of 30 mg. A cycle of ponatinib is defined as 28 consecutive days starting with the first day of the treatment cycle. Treatment will be administered primarily in an outpatient setting."
"1015",1250,"NCT01214616",193346,0.666666667,2,3,"during the treatment period or up to 28 days after the completion of drug administration, up to 730 days",NA,"Afatinib 20 mg With Vinorelbine 25 mg/m^2 (Cohort 1)","Afatinib 20 mg oral administration once a day with vinorelbine 25 mg/m^2 intravenous injection weekly"
"1016",1251,"NCT01169675",208551,0.666666667,2,3,"Starting with first administration of trial drug (Afatinib or Pemetrexed) and ending 28 days after the last administration of trial drug.",NA,"Continuous Afatinib 40 mg","Continuous Afatinib 40 mg plus Pemetrexed"
"1027",1263,"NCT01035658",249754,0.666666667,2,3,NA,NA,"Dose Level 1 Sequential","Systemic therapy with pazopanib and liposomal doxorubicin (Doxil). In this schedule, liposomal doxorubicin (30mg) was given on day 1, and pazopanib (400mg) was given days 3 - 26 of each 28 day cycle. Cycles will continue until disease progression, unacceptable toxicity or withdrawal.
Pazopanib: All patients will begin treatment with a 7-day run in period of single-agent pazopanib. Patients will receive pazopanib orally days 1-28 of a 28 day cycle.
Doxil: Liposomal doxorubicin (Doxil) will be administered IV on day 1 of a 28-day treatment cycle"
"1030",1273,"NCT00951665",279374,0.666666667,2,3,"Up to 30 days after the last dose of study treatment or study discontinuation/termination, whichever is later (Approximately 4 years)","SAEs and other AEs were collected in the safety population, which was defined as all participants who received at least a single dose of study medication. There was one SAE that lead to death and the preferred term was not captured for it. The same SAE was captured as ‘Death – unknown cause’ in the below SAE table.","Phase Ib Regimen 4","Participants received T-DM1 QW + paclitaxel QW + pertuzumab Q3W intravenously."
"1031",1274,"NCT00932373",286662,0.666666667,2,3,"Baseline to the end of the study (up to 3 years 2 months)",NA,"Trastuzumab-MCC-DM 4.8 mg/kg Every 3 Weeks","Trastuzumab-MCC-DM 4.8 mg/kg administered intravenously (IV) once every 3 weeks"
"1057",1307,"NCT00626639",397617,0.666666667,2,3,"Up to 15 weeks from first dose of IP","The table of Other Adverse Events summarizes the most frequent non-serious occurrences of adverse events.","Palifermin","Three days before the start of radiotherapy (Day -3), participants received a single intravenous (IV) bolus injection of palifermin at 120 μg/kg. During radiotherapy (beginning on Day 1), participants received a weekly single IV bolus injection of palifermin at 120 μg/kg after the last radiation fraction of that week (usually on Fridays) until grade ≥3 oral mucositis occurred, or for a maximum 8 doses (completion of radiotherapy). Participants also received cisplatin 100 mg/m^2 on days 1, 22 and 43."
"1060",1312,"NCT00560352",421940,0.666666667,2,3,"Continuously from Day 1 until last day of study medication + 30 days (maximum reached: 10 months)",NA,"Dasatinib, 100 mg QD","Dasatinib, 100 mg, given QD with 1.3 mg/m^2 of bortezomib in 21-day cycles. Dexamethasone, fixed at 20 mg QD, was administered the day of and 1 day after each bortezomib dosing. In a 21-day cycle, bortezomib was administered by IV bolus twice weekly, on Days 1, 4, 8, and 11, followed by a 10-day (Days 12 to 21) rest period. In a 21-day cycle, dasatinib was taken orally every day, QD in the morning. In a 21-day cycle, dexamethasone was taken orally on Days 1, 2, 4, 5, 8, 9, 11, and 12, at the same time as dasatinib. On the days when bortezomib and dasatinib were administered together, the morning dose of dasatinib was to be followed 1-2 hours by the dose of bortezomib."
"1067",1321,"NCT00457743",461506,0.666666667,2,3,NA,NA,"SU-011248 75-mg","Subjects received sunitinib malate (SU-011248) at starting dose of 75-mg once daily. Treatment cycles were 6 weeks in duration, consisting of 4 weeks daily SU-011248 administration followed by 2 weeks off treatment.
Phase 1: If Dose Limiting Toxicity (DLT) was observed, the patients were withdrawn from the study treatment. Neither temporary discontinuation nor reduction was permitted.
Phase 2: The initial dose could be reduced to the recommended dose. Treatment cycles were repeated until a study treatment withdrawal criterion was met. If drug-related adverse event (grade>=3) was observed, temporary discontinuation or dose reduction were taken according to the criteria."
"1097",1361,"NCT00077376",569384,0.661016949,39,59,"Assessed every cycle (1 induction cycle = 4 weeks, 1 maintenance cycle = 3 weeks) while on treatment and for 30 days after the end of treatment.",NA,"Trastuzumab/Ixabepilone/Carboplatin","During the induction phase, patients were treated with Ixabepilone (BMS-247550) 15mg/m2 intravenously (IV) followed by carboplatin (AUC=2 IV) on days 1, 8 and 15 of a 28-day cycle for a maximum of 6 cycles. Trastuzumab was administered weekly (4mg/kg loading dose then 2mg/kg IV) starting on day 1. Routine premedication included H1 blocker (diphenhydramine 50 mg orally (PO) or IV), H2 blocker (ranitidine 150 mg PO or 50 mg IV or another equivalent H2 blocker), and at least a 5-HT3 antagonist and dexamethasone.
After completion of 24 weekly trastuzumab doses (induction therapy), trastuzumab were given at a dose of 6 mg/kg IV every 3 weeks (maintenance therapy) beginning one week after the 24th weekly dose. Trastuzumab were repeated every 21 days until disease progression or prohibitive toxicity."
"1145",1419,"NCT00247676",532155,0.648648649,24,37,NA,NA,"50 Milligram (mg) Sunitinib","Subjects received open-label sunitinib malate at a starting dose of 50 mg once daily for 4 consecutive weeks followed by a 2-week rest period to form a complete cycle of 6 weeks."
"1157",1433,"NCT00306891",515279,0.64516129,20,31,NA,NA,"Cediranib 30 - 90 mg Dose Escalation","Cediranib 30 - 90 mg Dose Escalation"
"1162",1438,"NCT00105443",561113,0.643097643,191,297,"Reporting Group (RG) 1 + 2: Data for Interim Analysis, cut-off Oct 17, 2006; RG 3: Data during and after unblinding (until Nov 21, 2008); RG 4: Data prior to date of unblinding (Feb 9, 2007); RG 5: Data after unblinding (Open Label; until Nov 21, 2008)","RG 1 + 3 description: All subjects randomized to Sorafenib treatment; RG 2 + 4 description: All subjects randomized to Placebo before unblinding (when they were on Placebo, before they had the opportunity to switch to Sorafenib treatment); RG 5 description: All placebo subjects who switched to Sorafenib treatment after unblinding occurred.","Sorafenib (Nexavar) Arm Complete (Incl. Open Label Phase)","Reporting Group 3 (RG 3): All participants that initially were randomized to Sorafenib treatment (data before unblinding (= Double-Blind phase) and after unblinding (= Open Label phase)), until Nov 21, 2008); Sorafenib 400 mg was administered orally at a dose of 400 mg (2 x 200 mg tablets) twice daily (bid); 2 dose reductions to predefined levels of 400 mg once daily (OD) and 400 mg every other day were permitted for adverse events related to study treatment. Note: Safety Data presented here include participants listed in Arms A1 and A2 of the Participant Flow section."
"1171",1447,"NCT01009983",258329,0.642857143,9,14,NA,NA,"Arm 1","Patients receive paclitaxel IV and carboplatin IV on days 1, 8, and 15. Patients also receive panitumumab IV on days 1 and 15.
panitumumab: Given IV
paclitaxel: Given IV
carboplatin: Given IV
laboratory biomarker analysis: Correlative study
immunohistochemistry staining method: Correlative study"
"1175",1451,"NCT00131937",551677,0.642857143,9,14,"Assessed every 4 weeks while on treatment and for 30 days after the end of treatment",NA,"Treatment (Sorafenib)","All patients who received Sorafenib treatment."
"1182",1458,"NCT00189488",540895,0.641025641,50,78,"125 Days","The table of Other Adverse Events summarizes the most frequent non-serious occurrences of adverse events.
Two participants were randomized to the Placebo arm but received palifermin inadvertently and were summarized in Palifermin arm.","Palifermin","Palifermin 60 μg/kg administered daily on 3 consecutive days prior to the day of start of the conditioning regimen and 180 μg/kg administered once prior to transplant and at least 96 hours from last palifermin dose of 60 μg/kg."
"1191",1468,"NCT01428219",136555,0.64,16,25,NA,NA,"Cabozantinib (XL184)","Cabozantinib is available in capsule form. The dose is 60 mg daily by mouth. Subjects with disease progression at 6 weeks who do not have significant toxicities may remain on therapy for an additional six weeks until a progression is confirmed. Further study drug administration beyond 12 weeks will be at the discretion of the investigator provided that the subject does not have disease progression, does not have unacceptable side effects, does not withdraw from study, or does not have a medical condition or illness that renders the subject unacceptable to receive further study drug."
"1194",1471,"NCT00367601",495441,0.64,16,25,NA,NA,"Single Arm Assignment","Bevacizumab + erlotinib; if no progressive disease observed, combination or single-agent treatment will continue until unacceptable toxicity or progressive disease.
Erlotinib: Erlotinib 150 mg qd days 1-21
Bevacizumab: Bevacizumab 15 mg/kg IV, day 1"
"1200",1477,"NCT00941863",283486,0.638655462,76,119,"Time frame for expansion group is from start of treatment until April 2008, up to 6 years.","Acronyms in Adverse Event Section:
White Blood Cell (WBC) Absolute Neutrophil Count (ANC) Absolute Granulocyte Count (AGC) Alanine Transaminase (ALT) Aspartate Transaminase (AST) Grade (GR) Gastrointestinal (GI) Central Nervous System (CNS) Fibrillation/Flutter (FIB/FLUTT) Neutropenia (Neu) documented (doc)","Sorafenib 400 mg (Expansion)","Dose-expansion cohort: Sorafenib (Nexavar, BAY43-9006) 400 mg twice daily (200-mg tablet) expansion"
"1214",1491,"NCT01260688",178744,0.636363636,7,11,NA,NA,"Arm II - Cediranib Alone",NA
"1233",1516,"NCT00111761",558769,0.631578947,12,19,"First dose through maximum of safety FU or 30 days after last dose (median 47 weeks follow-up)","The table of Other Adverse Events summarizes the most frequent non-serious occurrences of adverse events.","Panitumumab Plus IFL",NA
"1236",1519,"NCT00237185",534064,0.630136986,46,73,NA,NA,"Imatinib Mesylate 400 mg","400 mg"
"1242",1526,"NCT00282048",523304,0.629032258,39,62,NA,"The same event may appear as both an AE and a SAE. However, what is presented are distinct events. An event may be categorized as serious in one subject and as nonserious in another subject, or one subject may have experienced both a serious and nonserious event during the study.","Axitinib","Axitinib (AG-013736) tablet 5 milligram (mg) orally twice daily (BID) for 4 consecutive weeks (28 days cycle) with no interval between cycles."
"1249",1536,"NCT00874848",304451,0.627118644,37,59,"Serious adverse events (SAEs) and non-serious AEs were collected from the first dose of investigational product to the discontinuation of study plus 30 days after the last dose of study drug or until the subject began alternative therapy.",NA,"Imprime PGG Arm","Imprime PGG Injection + Cetuximab + Paclitaxel/Carboplatin"
"1259",1549,"NCT00121719",555439,0.625,15,24,"All adverse events (AEs) were collected for up to approximately 4 years.","Treatment-emergent adverse events were defined as AEs that emerged during treatment, having been absent at pre-treatment, or that worsened in severity relative to the pre-treatment state, or occurred within 7 days or 5 times the half-life (whichever was longer) post participant's last treatment. Only treatment-emergent AEs and SAEs were reported.","25 mg Lenvatinib (MTD Cohort)","Participants in this cohort had the option of participating in the food-effect pilot study. Two 10 mg lenvatinib tablets and five 1.0 mg lenvatinib tablets were taken orally, once daily. Lenvatinib was to be taken on an empty stomach shortly after waking. Participants were fasted for 2 hours following administration of lenvatinib and could drink only clear fluids during this time (grapefruit juice was to be avoided). If 1 of 3 participants experienced DLT during Cycle 1 (4 weeks) an additional 3 participants were to be treated at this dose level. If 5 of the 6 participants in the expanded dose level did not experience DLT during the first 4 weeks of therapy, no additional DLT was observed, the next dose level was opened for enrollment. If more than 1 participant experienced DLT during the first 4 weeks of therapy, dose escalation was stopped and the MTD was determined. An additional 12 participants were treated at the MTD level."
"1260",1551,"NCT00987935",266790,0.625,10,16,"AEs with an onset during therapy with study treatment or within 28 days after discontinuation of study treatment (up to 1066 days)",NA,"Phase I Group II Nintedanib, 200 mg Bid","Oral administration of Nintedanib (BIBF 1120) 200 mg soft gelatine capsules twice daily (bid) for the Group II patients during Phase I"
"1264",1555,"NCT01744340",71265,0.625,5,8,"Adverse events were collected pre-study, within 72 hours of day 1 if each cycle, at day 8 of each cycle, at end of treatment visit and 30 days post last dose of drug.",NA,"Head and Neck","Cetuximab, 400 mg/m2 cycle 1 week 1, then 250 mg/m2/weekly there after Eribulin Mesylate 1.4mg/m2
Head and neck: Eribulin mesylate is administered by IV infusion over 2-5 minutes on day 1 and 8 of a 21 day cycle 1.4mg/m2 and Cetuximab 400 mg/m2 cycle 1 week 1, then 250 mg/m2/weekly thereafter
Dose Level 1: 0.7 mg/m2 IV infusion days 1 and 8 of 21 day cycle Dose Level 2: 1.0 mg/m2 IV infusion days 1 and 8 of 21 day cycle Dose Level 3: 1.4 mg/m2 IV infusion days 1 and 8 of 21 day cycle"
"1271",1569,"NCT00779311",340539,0.625,5,8,"Adverse events were collected beginning on day 1 of study treatment until one month after the end of study treatment.","Systematic Assessment - subjects were assessed for adverse events on day 1 of each cycle (every other week) by either the research coordinator, treating physician, or other appropriate sub-investigator.","Dose Level (DL) 1 for MTD Determination","All eligible patients will receive the mFOLFOX6 regimen at full dose followed by IV bevacizumab 5mg/kg on Day 1 of each treatment cycle, and sorafenib 200mg every other day."
"1272",1570,"NCT00708214",368257,0.625,5,8,"First administration of trial medication until 28 days after last administration of trial medication",NA,"Afatinib 30 mg With Letrozole","Patients received continuous daily dosing with Afatinib 30 mg therapy with letrozole 2.5 mg over 28-day treatment cycles until further disease progression."
"1273",1571,"NCT00658658",387549,0.625,5,8,"From first dose date to end of study date. The median duration of study is 47 days.","Other Adverse Events summarizes the non-serious occurrences of adverse events that exceed the indicated frequency threshold.
Summary of Adverse Events includes only those participants who received at least one dose of investigational product.","Age 1-11: 6 mg/kg Q2W","Participants aged 1 to 11 years received panitumumab 6 mg/kg administered by IV infusion Q2W until the participant experienced disease progression, was unable to tolerate study drug, withdrew consent, or other reasons that warranted removal from the study."
